                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.96184,                 2.7923,                 3.4609,                 1.4794,                0.61761,                0.44444,                0.44665,                0.40478,                0.61761,                0.44444,                0.44665,                0.37533,                0.60394,                 2.4276,                 8.8519,                0.98192,             0.00027151,             0.00027151,             0.00027151
                      1,                0.99682,                 2.3516,                 2.8906,                 1.4846,                0.75386,                0.44444,                 0.5587,                0.39875,                0.75386,                0.44444,                 0.5587,                 0.4624,                 1.0206,                 1.5958,                  13.37,                 1.4768,             0.00050214,             0.00050214,             0.00050214
